id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201521019349200407						
201531219349100928						
201531489349200418						
201532469349300303	41010	164059	164059		286	283
201542339349300519	13500	11800	11800			0
201542339349300529	9563756	6790114	6790114		762	0
201521349349102742						
201511289349200906				0		
201520729349300727		0			3190	1662
201540739349200004						
201541049349200964				62509		
201541969349301364	578826	621540	621540		160	101
201511769349300881	105829	205741	205741		101282	108322
201521739349300687	9025	8800	8800			0
201522459349300322	11500	3500	3500		387	-47
201542119349301129		0				0
201521339349301702	0	0			0	0
201520439349200112			RESTRICTED	63146		
201540989349200729				750		
201500349349300545	4351760	5084056	5084056		0	0
201522399349200907				8897		
201502159349300890	3639	7100	7100		95	61
201520299349300117	302094	278796	278796		957	1953
201541349349308274	754400	8950	8950		22850	-12760
201541709349300034	5232351	5549000	5549000		-52815	-4175
201511849349200101				43029		
201541749349300109	554392	215442	215442		-2906	27524
201541349349300744	40100465	39680182	39680182		1264	40954
201541819349300439	372905	325500	325500		6431	1741
201521359349301647	68201	69614	69614			0
201531699349200403				43932		
201511959349200531						
201511339349303121	12089153	12761128	12761128		1958	556
201532519349300518	2236380	6636093	6636093		6440	8916
201501669349300130	908994	717626	717626		348851	602977
201542649349300684		40000	40000			838
201500789349300715	8519708	8247890	8247890		42531	45190
201522089349301027		0				0
201541269349200624			RESTRICTED	63136		
201511219349301556	6788332	0			0	0
201512619349301101	17446	16044	16044		0	0
201511359349202741			RESTRICTED	10000		
201541549349300764	137700	148000	148000			0
201512679349300731		0			239047	256371
201531349349304183	826238	730770	730770		3644	12873
201522469349200032			RESTRICTED	57628		
201520449349300302	65455	74856	74856		51	11
201531349349304818	151595	141000	141000		1339	1528
201542719349200514				3896		
201520469349300707	92700	64627	64627		391	222
201502199349200625				25534		
201512089349301156	128698	78870	78870		10	81136
201512679349300921	6675	12500	12500		933	231
201512679349301011	1600827	451942	451942		232030	375158
201502689349200700						
201521469349200057			RESTRICTED	22336		
201502649349300620	864528	591970	591970		54	149
201542269349201519			RESTRICTED	20620		
201520439349302347	895987	941745	941745		289234	331910
201501749349200625				97487		
201532299349302048	174559	193187	193187		2457	2032
201532269349302523	641052	721470	721470		36381	17456
201511969349301416	2161250	2023836	2023836		0	0
201531339349101438						
201510759349200036				2152		
201502259349301535	422378156	396536928	396536928		7652440	7193609
201542259349302579	3154488	3144257	3144257		45384	19639
201522669349100602						
201522669349100702						
201511709349300316	8386	500	500		937	255
201532019349300763	16550	136888	136888		195978	158182
201542309349300029	867860	1270273	1270273		51	0
201542659349100009						
201542279349300314	6076	285	285		55	0
201542659349100204						
201542259349201074				27581		
201542089349200664				33008		
201541339349202464						
201541259349200934				1900		
201501349349205355						
201502719349300915	0	0			6472	14343
201511349349307791	75775	76153	76153		35	24
201522649349300187	1202332	1116487	1116487		457	16
201531319349303018		0				13512
201501329349102225			106000			
201532619349300808	492884	428673	428673		32200	37280
201511919349300341	462006	460032	460032		12035	11819
201542109349200624				11500		
201532619349300908	84545	24058	24058			0
201502269349301245	69413	69052	69052		79	48
201531349349203093			RESTRICTED	130237		
201512259349302626	23769	16190	16190		284035	119908
201501359349202505				0		
201532299349303418	221820	218309	218309		21	5
201512369349300031	1304433	1603006	1603006			0
201522109349301272	241672	265835	265835		1533	1234
201541059349300624	89675	46050	46050		7	2
201521359349309722		0			7144	6697
201512299349100631						
201541129349100404						
201522289349200807				547		
201512369349300336	0	0			9	8
201512369349300451	7005	13162	13162			0
201511319349303396	0	0			39769	156128
201532469349300218	14850	31352	31352			0
201530939349100503						
201521329349202497				15078		
201522539349200782				0		
201542259349302629	532202	468811	468811		182101	263263
201501269349201005				17738		
201522689349300022		0				0
201530639349200623			RESTRICTED			
201532319349200713				79132		
201502269349301210		203024	203024			0
201531199349200738				12483		
201532219349300653		0	0		1450	2919
201542269349202059				13275		
201522049349300202		0				0
201530709349100113			511045			
201542299349200609						
201502249349303070	406180	95566	95566		2614	14743
201531359349302878	0	0	0		0	0
201500859349300105		0			43432	43433
201512729349301101	779058	357789	357789		53203	110827
201542309349200524						
201540489349300649	564	844	844		353770	951511
201502259349303865	175975	186550	186550		1701	1581
201502729349300605	424811	945237	945237		151354	173650
201521359349308087	1301301	1602876	1602876			0
201532269349201038				60125		
201512269349201741			RESTRICTED	73845		
201541879349100409			7780			
201521339349201152				13196		
201541359349304719	87964	81395	81395		32	32
201541829349300314	0	0			182	83
201532339349300513	15908	12286	12286		4560	-6953
201511349349306591	144441	55243	55243		260410	428394
201542249349300719	446691	519591	519591		11567	17349
201502199349100210						
201521689349200502			RESTRICTED	34179		
201532339349300623	406659	569548	569548		9	10
201502669349300825	1756008	911285	911285		29	-1118
201501319349302445	49940	42896	42896		122	129
201532339349300823	3042227	2012202	2012202		0	0
201532349349300203	132631	118722	118722		32110	9346
201532349349300303	27100	29890	29890		29646	51360
201521299349200017				29479		
201511329349102256						
201511359349307336	255400	229178	229178		6	-4105
201511769349300246	267058	282697	282697		221	242
201532089349300763	1110169	444655	444655		760529	510918
201542329349100404						
201502299349200515				196390		
201522339349300137	665513	450833	450833			0
201522339349300202	41092	9339	9339		267	180
201500379349300840	0	0			1939	1568
201522339349300222	143458	216230	216230		114	9
201522339349300227	130766	392509	392509		1253	2800
201531489349300113	298895	300442	300442			0
201501129349300400	48629	39782	39782			0
201542189349301119	850268	270615	270615			0
201532099349100203						
201520399349200252			RESTRICTED	103500		
201522339349300327	292656	101147	101147			0
201511499349200406				88514		
201530509349200013						
201542389349300704		116	116			0
201501209349200800						
201501229349100600						
201511279349301396	0	0			30658	20813
201502259349303960	68245	5253	5253		175152	85994
201542369349300324	4512732	5073942	5073942		65	388
201542369349300404	76622	107756	107756		0	0
201531839349300718	73879	70039	70039		5068	9636
201512299349202246				11240		
201512259349202276			RESTRICTED	39015		
201521389349200757						
201502649349300640	990350	2415165	2415165		11790	30557
201501139349300135	361293	355458	355458			-1686
201511609349300086		0			242682	286536
201502649349300660	138703	219601	219601			0
201501349349303165	4917404	3900008	3900008		1834080	3113279
201502269349303655	293598	277172	277172		571	458
201502649349300700	210059	171208	171208		2	2
201521009349300827	297347	332786	332786		446	16
201522099349301017	32328	23712	23712		62431	9430
201501759349300125	0	0			0	0
201531339349302423	18686	17769	17769		10	14
201521269349200222			RESTRICTED			
201541219349301204	11411862	11750731	11750731		5476	21394
201502179349301145		0				0
201512259349301466	35	1035	1035		0	1
201521359349302022	0	0			1956	1983
201512689349300306	460394	297851	297851		7244	19351
201510339349200701						
201511329349202001			RESTRICTED	69862		
201531679349300833		0				0
201502659349300120	136047	91367	91367		0	0
201541359349101634						
201531329349303133	679515	829455	829455		390	514
201512649349300416	1773435	1882423	1882423		17873	21209
201512649349300421	1094247	1049617	1049617		7	0
201541349349305449	649728	660008	660008		1	161
201521349349305467		0			6582	916
201512649349300501	115284	50688	50688		-123	39537
201531289349101403						
201541339349301119	434501	436453	436453		25	29
201540129349200104						
201512649349300541	1436037	1757699	1757699		20673	27316
201521959349301607		0			781	709
201541489349300414	181359	162610	162610		314	5285
201540989349200724						
201501319349200200				5582		
201541329349201149			RESTRICTED	25600		
201531359349303518	3111162	3304064	3304064		8155	8276
201502059349300235		1000	1000		54543	31498
201531959349300533		0			6410425	2010688
201502649349300665	119305	95960	95960		430	389
201521049349100707						
201501749349300105	46217	25523	25523			0
201511119349200106				35310		
201532229349201063				657		
201500989349200315			RESTRICTED	131000		
201542619349300119	500000	450000	450000		0	0
201541349349200974						
201542659349300029	232	104	104		27	87456
201542619349300204	64168	62348	62348			0
201531329349202048				57588		
201530409349300733	24689	22147	22147		4726	7231
201500719349300605	0	0	0		5421887	7580
201512669349300331	0	1124715	1124715		-88853	2727
201531289349302463	6403	7362	7362			0
201512669349300411	3943121	3572379	3572379		1005	4027
201541199349300744	27884	11296	11296		3320	8037
201511159349100971						
201531319349101218						
201511339349302881	95350	173564	173564		934	9457
201541359349304374	219644	194636	194636		10	16
201500709349100405			12000			
201531339349301548	23173	49475	49475		441465	229103
201511319349201271			RESTRICTED	33035		
201532199349200533			RESTRICTED	70803		
201542299349201139						
201531829349300203	68293	70031	70031		10	4
201531359349301003	21776	33050	33050		0	0
201542529349100314						
201531339349203533			RESTRICTED	17095		
201531419349200633			RESTRICTED	80000		
201532269349201518						
201521689349100602						
201531469349100218						
201521349349302147	99199	66592	66592			0
201532269349201633			RESTRICTED	52893		
201532289349200113			RESTRICTED	30000		
201532299349304428	448098	563817	563817		287	311
201540619349200524						
201511359349204136				3363		
201501339349203720				2290		
201521339349301127	12076934	14134513	14134513		2899981	1776278
201502409349300310	17500	101000	101000		4412	3508
201502269349202570			RESTRICTED	28443		
201541309349200314				0		
201531349349300803	9010746	9039087	9039087		132273	234456
201532329349200423				583		
201520989349101157						
201512369349300701	7600	42105	42105		30	0
201521359349200507						
201542299349201569						
201531319349302648	64556	7045	7045			0
201511359349203521						
201532269349201793						
201541219349200249				24000		
201532269349201818				48323		
201541319349202864				11033		
201540829349200524						
201510429349300836	150567	114119	114119			0
201511349349304486	0	0			12813	14496
201522539349200402						
201531329349202803			RESTRICTED	17763		
201520649349300412	376882	196316	196316			0
201501329349102080						
201500449349301150	111057	188133	188133		2	2
201511469349300406	440252	401378	401378		3291	79
201501209349100610						
201501329349300025	248806	285582	285582		0	0
201542369349300624	317254	346193	346193			0
201511349349100436			180000			
201541349349302044	205229	191158	191158		299925	110024
201500979349100310						
201512179349100501						
201541259349300549	113758	106077	106077		2141	4604
201531899349100603						
201511359349300306	0	10000000	10000000		0	98385
201502379349300600	150000	150000	150000		0	0
201541019349200704				92850		
201541199349200844				62961		
