id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201542249349300719	446691	519591	519591		11567	17349
201532339349300623	406659	569548	569548		9	10
201502669349300825	1756008	911285	911285		29	-1118
201501319349302445	49940	42896	42896		122	129
201532339349300823	3042227	2012202	2012202		0	0
201532349349300203	132631	118722	118722		32110	9346
201532349349300303	27100	29890	29890		29646	51360
201511359349307336	255400	229178	229178		6	-4105
201511769349300246	267058	282697	282697		221	242
201532089349300763	1110169	444655	444655		760529	510918
201522339349300202	41092	9339	9339		267	180
201500379349300840	0	0			1939	1568
201522339349300222	143458	216230	216230		114	9
201522339349300227	130766	392509	392509		1253	2800
201511279349301396	0	0			30658	20813
201502259349303960	68245	5253	5253		175152	85994
201542369349300324	4512732	5073942	5073942		65	388
201542369349300404	76622	107756	107756		0	0
201531839349300718	73879	70039	70039		5068	9636
201502649349300640	990350	2415165	2415165		11790	30557
201501349349303165	4917404	3900008	3900008		1834080	3113279
201502269349303655	293598	277172	277172		571	458
201502649349300700	210059	171208	171208		2	2
201521009349300827	297347	332786	332786		446	16
201522099349301017	32328	23712	23712		62431	9430
201501759349300125	0	0			0	0
201531339349302423	18686	17769	17769		10	14
201541219349301204	11411862	11750731	11750731		5476	21394
201512259349301466	35	1035	1035		0	1
201521359349302022	0	0			1956	1983
201512689349300306	460394	297851	297851		7244	19351
201502659349300120	136047	91367	91367		0	0
201531329349303133	679515	829455	829455		390	514
201512649349300416	1773435	1882423	1882423		17873	21209
201512649349300421	1094247	1049617	1049617		7	0
201541349349305449	649728	660008	660008		1	161
201512649349300501	115284	50688	50688		-123	39537
201541339349301119	434501	436453	436453		25	29
201512649349300541	1436037	1757699	1757699		20673	27316
201541489349300414	181359	162610	162610		314	5285
201531359349303518	3111162	3304064	3304064		8155	8276
201502649349300665	119305	95960	95960		430	389
201542619349300119	500000	450000	450000		0	0
201542659349300029	232	104	104		27	87456
201530409349300733	24689	22147	22147		4726	7231
201500719349300605	0	0	0		5421887	7580
201512669349300331	0	1124715	1124715		-88853	2727
201512669349300411	3943121	3572379	3572379		1005	4027
201541199349300744	27884	11296	11296		3320	8037
201511339349302881	95350	173564	173564		934	9457
201541359349304374	219644	194636	194636		10	16
201531339349301548	23173	49475	49475		441465	229103
201531829349300203	68293	70031	70031		10	4
201531359349301003	21776	33050	33050		0	0
201532299349304428	448098	563817	563817		287	311
201521339349301127	12076934	14134513	14134513		2899981	1776278
201502409349300310	17500	101000	101000		4412	3508
201531349349300803	9010746	9039087	9039087		132273	234456
201512369349300701	7600	42105	42105		30	0
201511349349304486	0	0			12813	14496
201500449349301150	111057	188133	188133		2	2
201511469349300406	440252	401378	401378		3291	79
201501329349300025	248806	285582	285582		0	0
201541349349302044	205229	191158	191158		299925	110024
201541259349300549	113758	106077	106077		2141	4604
201511359349300306	0	10000000	10000000		0	98385
201502379349300600	150000	150000	150000		0	0
201511309349300101	1497037	1662451	1662451		0	0
201502379349300700	145188	102101	102101		110	1433
201522299349303837	0	0			1912	1822
201542299349302169	238650	341353	341353		235	296
201502379349300730	28629	171709	171709		49	5446
201542189349301209	135650	132175	132175		1554	4227
201521119349300032	583320	588106	588106		138	265
201531349349301873	1685	3118	3118		0	0
201502379349300910	125000	669662	669662		0	0
201532119349301358	288965	305045	305045		132997	126921
201500479349301650	318779	7214587	7214587		17035	58206
201501969349301625	0	0			63547	98107
201520359349300542	187764	197281	197281		2703	7392
201512649349300011	0	0			4504	2992
201522619349300127	0	0			37211	2099
201522679349300412	0	0			0	0
201522679349300517	109756	109985	109985		256	268
201522679349300722	4870	6097	6097		23	12
201541349349308624	26913988	26964414	26964414		138	0
201521879349300927	957	310	310		2039	2009
201521359349308022	56936	27717	27717		16	14
201501609349300475	396850	695925	695925		0	0
201511349349307801	0	0	0		0	0
201501359349300900	0	0			0	0
201500479349300000	494317	470917	470917		48327	56024
201510419349301976	2916074	3106694	3106694		3762	1802
201500099349300135	212219	688457	688457		262	713
201511549349300501	56521	62115	62115		39	0
201521359349309077	279311	425313	425313		170	165
201532309349301088	0	0	0		90522	108260
201512309349300531	16184	22958	22958		1681	20122
201521289349302477	2189844	2705696	2705696		176	150
201522649349300602	443618	566626	566626		73	74
201542639349300204	394477	184942	184942		71	32
